ORDER_PRODUCT_ID,ORDER_ID,CUSTOMER_ID,PRODUCT_ID,SALES,QUANTITY,DISCOUNT,PROFIT,ORDER_DATE,SHIP_DATE,SHIP_MODE,REGION
0,CA-2016-152156,CG-12520,FUR-BO-10001798,261.9600,2,0.00,41.9136,2016-11-08,2016-11-11,Second Class,South
1,CA-2016-152156,CG-12520,FUR-CH-10000454,731.9400,3,0.00,219.5820,2016-11-08,2016-11-11,Second Class,South
2,CA-2016-138688,DV-13045,OFF-LA-10000240,14.6200,2,0.00,6.8714,2016-06-12,2016-06-16,Second Class,West
3,US-2015-108966,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.0310,2015-10-11,2015-10-18,Standard Class,South
4,US-2015-108966,SO-20335,OFF-ST-10000760,22.3680,2,0.20,2.5164,2015-10-11,2015-10-18,Standard Class,South
5,CA-2014-115812,BH-11710,FUR-FU-10001487,48.8600,7,0.00,14.1694,2014-06-09,2014-06-14,Standard Class,West
6,CA-2014-115812,BH-11710,OFF-AR-10002833,7.2800,4,0.00,1.9656,2014-06-09,2014-06-14,Standard Class,West
7,CA-2014-115812,BH-11710,TEC-PH-10002275,907.1520,6,0.20,90.7152,2014-06-09,2014-06-14,Standard Class,West
8,CA-2014-115812,BH-11710,OFF-BI-10003910,18.5040,3,0.20,5.7825,2014-06-09,2014-06-14,Standard Class,West
9,CA-2014-115812,BH-11710,OFF-AP-10002892,114.9000,5,0.00,34.4700,2014-06-09,2014-06-14,Standard Class,West
10,CA-2014-115812,BH-11710,FUR-TA-10001539,1706.1840,9,0.20,85.3092,2014-06-09,2014-06-14,Standard Class,West
11,CA-2014-115812,BH-11710,TEC-PH-10002033,911.4240,4,0.20,68.3568,2014-06-09,2014-06-14,Standard Class,West
12,CA-2017-114412,AA-10480,OFF-PA-10002365,15.5520,3,0.20,5.4432,2017-04-15,2017-04-20,Standard Class,South
13,CA-2016-161389,IM-15070,OFF-BI-10003656,407.9760,3,0.20,132.5922,2016-12-05,2016-12-10,Standard Class,West
