SHIPMENT_ID,ORDER_ID,SHIP_DATE,SHIP_MODE,SEGMENT,COUNTRY,CITY,STATE,POSTAL_CODE,REGION
0,CA-2016-152156,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,42420,South
2,CA-2016-138688,2016-06-16,Second Class,Corporate,United States,Los Angeles,California,90036,West
3,US-2015-108966,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South
5,CA-2014-115812,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,90032,West
12,CA-2017-114412,2017-04-20,Standard Class,Consumer,United States,Concord,North Carolina,28027,South
13,CA-2016-161389,2016-12-10,Standard Class,Consumer,United States,Seattle,Washington,98103,West
14,US-2015-118983,2015-11-26,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central
16,CA-2014-105893,2014-11-18,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central
17,CA-2014-167164,2014-05-15,Second Class,Consumer,United States,West Jordan,Utah,84084,West
18,CA-2014-143336,2014-09-01,Second Class,Consumer,United States,San Francisco,California,94109,West
21,CA-2016-137330,2016-12-13,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central
23,US-2017-156909,2017-07-18,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East
24,CA-2015-106320,2015-09-30,Standard Class,Consumer,United States,Orem,Utah,84057,West
25,CA-2016-121755,2016-01-20,Second Class,Consumer,United States,Los Angeles,California,90049,West
27,US-2015-150630,2015-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East
34,CA-2017-107727,2017-10-23,Second Class,Home Office,United States,Houston,Texas,77095,Central
35,CA-2016-117590,2016-12-10,First Class,Corporate,United States,Richardson,Texas,75080,Central
37,CA-2015-117415,2015-12-31,Standard Class,Home Office,United States,Houston,Texas,77041,Central
41,CA-2017-120999,2017-09-15,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central
42,CA-2016-101343,2016-07-22,Standard Class,Corporate,United States,Los Angeles,California,90049,West
43,CA-2017-139619,2017-09-23,Standard Class,Corporate,United States,Melbourne,Florida,32935,South
44,CA-2016-118255,2016-03-13,First Class,Corporate,United States,Eagan,Minnesota,55122,Central
46,CA-2014-146703,2014-10-25,Second Class,Consumer,United States,Westland,Michigan,48185,Central
47,CA-2016-169194,2016-06-25,Standard Class,Consumer,United States,Dover,Delaware,19901,East
49,CA-2015-115742,2015-04-22,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central
53,CA-2016-105816,2016-12-17,Standard Class,Corporate,United States,New York City,New York,10024,East
55,CA-2016-111682,2016-06-18,First Class,Consumer,United States,Troy,New York,12180,East
62,CA-2015-135545,2015-11-30,Standard Class,Consumer,United States,Los Angeles,California,90004,West
66,US-2015-164175,2015-05-05,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central
67,CA-2014-106376,2014-12-10,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West
69,CA-2016-119823,2016-06-06,First Class,Consumer,United States,Springfield,Virginia,22153,South
70,CA-2016-106075,2016-09-23,Standard Class,Consumer,United States,New York City,New York,10009,East
71,CA-2017-114440,2017-09-17,Second Class,Consumer,United States,Jackson,Michigan,49201,Central
72,US-2015-134026,2015-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South
75,US-2017-118038,2017-12-11,First Class,Corporate,United States,Houston,Texas,77041,Central
78,US-2014-147606,2014-12-01,Second Class,Consumer,United States,Houston,Texas,77070,Central
79,CA-2016-127208,2016-06-15,First Class,Corporate,United States,Decatur,Alabama,35601,South
81,CA-2014-139451,2014-10-16,Standard Class,Consumer,United States,San Francisco,California,94122,West
83,CA-2015-149734,2015-09-08,Standard Class,Corporate,United States,Durham,North Carolina,27707,South
84,US-2017-119662,2017-11-16,First Class,Home Office,United States,Chicago,Illinois,60623,Central
85,CA-2017-140088,2017-05-30,Second Class,Consumer,United States,Columbia,South Carolina,29203,South
86,CA-2017-155558,2017-11-02,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central
88,CA-2016-159695,2016-04-10,Second Class,Home Office,United States,Houston,Texas,77095,Central
89,CA-2016-109806,2016-09-22,Standard Class,Corporate,United States,Los Angeles,California,90036,West
92,CA-2015-149587,2015-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central
95,US-2017-109484,2017-11-12,Standard Class,Home Office,United States,Portland,Oregon,97206,West
96,CA-2017-161018,2017-11-11,Second Class,Home Office,United States,New York City,New York,10009,East
97,CA-2017-157833,2017-06-20,First Class,Consumer,United States,San Francisco,California,94122,West
98,CA-2016-149223,2016-09-11,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central
99,CA-2016-158568,2016-09-02,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central
102,CA-2016-129903,2016-12-04,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central
103,US-2015-156867,2015-11-17,Standard Class,Consumer,United States,Aurora,Colorado,80013,West
106,CA-2017-119004,2017-11-28,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South
109,CA-2015-129476,2015-10-20,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central
110,CA-2017-146780,2017-12-30,Standard Class,Corporate,United States,New York City,New York,10035,East
111,CA-2016-128867,2016-11-10,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central
113,CA-2014-115259,2014-08-27,Second Class,Consumer,United States,Columbus,Ohio,43229,East
117,CA-2015-110457,2015-03-06,Standard Class,Consumer,United States,Seattle,Washington,98103,West
118,US-2015-136476,2015-04-10,Standard Class,Corporate,United States,Bristol,Tennessee,37620,South
119,CA-2016-103730,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,19805,East
124,US-2014-152030,2014-12-28,Second Class,Home Office,United States,Houston,Texas,77041,Central
125,US-2014-134614,2014-09-25,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central
126,US-2017-107272,2017-11-12,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West
128,US-2016-125969,2016-11-10,Second Class,Home Office,United States,Los Angeles,California,90004,West
130,US-2017-164147,2017-02-05,First Class,Corporate,United States,Columbus,Ohio,43229,East
133,CA-2016-145583,2016-10-19,Standard Class,Consumer,United States,Roseville,California,95661,West
140,CA-2016-110366,2016-09-07,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East
141,CA-2017-106180,2017-09-23,Standard Class,Corporate,United States,San Francisco,California,94122,West
144,CA-2017-155376,2017-12-27,Standard Class,Consumer,United States,Independence,Missouri,64055,Central
145,CA-2015-110744,2015-09-12,Standard Class,Consumer,United States,Pasadena,California,91104,West
146,CA-2014-110072,2014-10-28,Standard Class,Home Office,United States,Newark,Ohio,43055,East
147,CA-2016-114489,2016-12-09,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central
151,CA-2016-158834,2016-03-16,First Class,Home Office,United States,Scottsdale,Arizona,85254,West
153,CA-2015-124919,2015-06-02,First Class,Corporate,United States,San Jose,California,95123,West
156,CA-2015-118948,2015-06-03,Standard Class,Home Office,United States,Seattle,Washington,98105,West
157,CA-2014-104269,2014-03-06,Second Class,Consumer,United States,Seattle,Washington,98115,West
158,CA-2016-114104,2016-11-24,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central
160,CA-2016-162733,2016-05-12,First Class,Consumer,United States,Los Angeles,California,90045,West
161,CA-2015-119697,2015-12-31,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
162,CA-2016-154508,2016-11-20,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West
163,CA-2016-113817,2016-11-11,Standard Class,Consumer,United States,Seattle,Washington,98115,West
164,CA-2014-139892,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central
171,CA-2014-118962,2014-08-09,Standard Class,Consumer,United States,Los Angeles,California,90004,West
174,US-2014-100853,2014-09-19,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central
176,US-2017-152366,2017-04-25,Second Class,Consumer,United States,Houston,Texas,77036,Central
177,US-2015-101511,2015-11-23,Second Class,Consumer,United States,Newark,Ohio,43055,East
179,CA-2015-137225,2015-12-19,Standard Class,Home Office,United States,New York City,New York,10009,East
180,CA-2014-166191,2014-12-09,Second Class,Corporate,United States,Decatur,Illinois,62521,Central
182,CA-2014-158274,2014-11-24,Second Class,Home Office,United States,Monroe,Louisiana,71203,South
185,CA-2016-105018,2016-12-02,Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East
186,CA-2014-123260,2014-08-30,Standard Class,Home Office,United States,Los Angeles,California,90032,West
187,CA-2016-157000,2016-07-22,Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central
189,CA-2015-102281,2015-10-14,First Class,Home Office,United States,New York City,New York,10035,East
194,CA-2015-131457,2015-11-06,Standard Class,Corporate,United States,Redlands,California,92374,West
195,CA-2014-140004,2014-03-25,Standard Class,Consumer,United States,Hamilton,Ohio,45011,East
197,CA-2017-107720,2017-11-13,Standard Class,Home Office,United States,Westfield,New Jersey,7090,East
198,US-2017-124303,2017-07-13,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East
