Shipment ID,Order ID,Ship Date,Ship Mode,Segment,Country,City,State,Postal Code,Region
0,CA-2016-152156,11/11/2016,Second Class,Consumer,United States,Henderson,Kentucky,42420,South
2,CA-2016-138688,6/16/2016,Second Class,Corporate,United States,Los Angeles,California,90036,West
3,US-2015-108966,10/18/2015,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South
5,CA-2014-115812,6/14/2014,Standard Class,Consumer,United States,Los Angeles,California,90032,West
12,CA-2017-114412,4/20/2017,Standard Class,Consumer,United States,Concord,North Carolina,28027,South
13,CA-2016-161389,12/10/2016,Standard Class,Consumer,United States,Seattle,Washington,98103,West
14,US-2015-118983,11/26/2015,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central
16,CA-2014-105893,11/18/2014,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central
17,CA-2014-167164,5/15/2014,Second Class,Consumer,United States,West Jordan,Utah,84084,West
18,CA-2014-143336,9/1/2014,Second Class,Consumer,United States,San Francisco,California,94109,West
21,CA-2016-137330,12/13/2016,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central
23,US-2017-156909,7/18/2017,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East
24,CA-2015-106320,9/30/2015,Standard Class,Consumer,United States,Orem,Utah,84057,West
25,CA-2016-121755,1/20/2016,Second Class,Consumer,United States,Los Angeles,California,90049,West
27,US-2015-150630,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East
34,CA-2017-107727,10/23/2017,Second Class,Home Office,United States,Houston,Texas,77095,Central
35,CA-2016-117590,12/10/2016,First Class,Corporate,United States,Richardson,Texas,75080,Central
37,CA-2015-117415,12/31/2015,Standard Class,Home Office,United States,Houston,Texas,77041,Central
41,CA-2017-120999,9/15/2017,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central
42,CA-2016-101343,7/22/2016,Standard Class,Corporate,United States,Los Angeles,California,90049,West
43,CA-2017-139619,9/23/2017,Standard Class,Corporate,United States,Melbourne,Florida,32935,South
44,CA-2016-118255,3/13/2016,First Class,Corporate,United States,Eagan,Minnesota,55122,Central
46,CA-2014-146703,10/25/2014,Second Class,Consumer,United States,Westland,Michigan,48185,Central
47,CA-2016-169194,6/25/2016,Standard Class,Consumer,United States,Dover,Delaware,19901,East
49,CA-2015-115742,4/22/2015,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central
53,CA-2016-105816,12/17/2016,Standard Class,Corporate,United States,New York City,New York,10024,East
55,CA-2016-111682,6/18/2016,First Class,Consumer,United States,Troy,New York,12180,East
62,CA-2015-135545,11/30/2015,Standard Class,Consumer,United States,Los Angeles,California,90004,West
66,US-2015-164175,5/5/2015,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central
67,CA-2014-106376,12/10/2014,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West
69,CA-2016-119823,6/6/2016,First Class,Consumer,United States,Springfield,Virginia,22153,South
70,CA-2016-106075,9/23/2016,Standard Class,Consumer,United States,New York City,New York,10009,East
71,CA-2017-114440,9/17/2017,Second Class,Consumer,United States,Jackson,Michigan,49201,Central
72,US-2015-134026,5/2/2015,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South
75,US-2017-118038,12/11/2017,First Class,Corporate,United States,Houston,Texas,77041,Central
78,US-2014-147606,12/1/2014,Second Class,Consumer,United States,Houston,Texas,77070,Central
79,CA-2016-127208,6/15/2016,First Class,Corporate,United States,Decatur,Alabama,35601,South
81,CA-2014-139451,10/16/2014,Standard Class,Consumer,United States,San Francisco,California,94122,West
83,CA-2015-149734,9/8/2015,Standard Class,Corporate,United States,Durham,North Carolina,27707,South
84,US-2017-119662,11/16/2017,First Class,Home Office,United States,Chicago,Illinois,60623,Central
85,CA-2017-140088,5/30/2017,Second Class,Consumer,United States,Columbia,South Carolina,29203,South
86,CA-2017-155558,11/2/2017,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central
88,CA-2016-159695,4/10/2016,Second Class,Home Office,United States,Houston,Texas,77095,Central
89,CA-2016-109806,9/22/2016,Standard Class,Corporate,United States,Los Angeles,California,90036,West
92,CA-2015-149587,2/5/2015,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central
95,US-2017-109484,11/12/2017,Standard Class,Home Office,United States,Portland,Oregon,97206,West
96,CA-2017-161018,11/11/2017,Second Class,Home Office,United States,New York City,New York,10009,East
97,CA-2017-157833,6/20/2017,First Class,Consumer,United States,San Francisco,California,94122,West
98,CA-2016-149223,9/11/2016,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central
99,CA-2016-158568,9/2/2016,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central
102,CA-2016-129903,12/4/2016,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central
103,US-2015-156867,11/17/2015,Standard Class,Consumer,United States,Aurora,Colorado,80013,West
106,CA-2017-119004,11/28/2017,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South
109,CA-2015-129476,10/20/2015,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central
110,CA-2017-146780,12/30/2017,Standard Class,Corporate,United States,New York City,New York,10035,East
111,CA-2016-128867,11/10/2016,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central
113,CA-2014-115259,8/27/2014,Second Class,Consumer,United States,Columbus,Ohio,43229,East
117,CA-2015-110457,3/6/2015,Standard Class,Consumer,United States,Seattle,Washington,98103,West
118,US-2015-136476,4/10/2015,Standard Class,Corporate,United States,Bristol,Tennessee,37620,South
119,CA-2016-103730,6/15/2016,First Class,Consumer,United States,Wilmington,Delaware,19805,East
124,US-2014-152030,12/28/2014,Second Class,Home Office,United States,Houston,Texas,77041,Central
125,US-2014-134614,9/25/2014,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central
126,US-2017-107272,11/12/2017,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West
128,US-2016-125969,11/10/2016,Second Class,Home Office,United States,Los Angeles,California,90004,West
130,US-2017-164147,2/5/2017,First Class,Corporate,United States,Columbus,Ohio,43229,East
133,CA-2016-145583,10/19/2016,Standard Class,Consumer,United States,Roseville,California,95661,West
140,CA-2016-110366,9/7/2016,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East
141,CA-2017-106180,9/23/2017,Standard Class,Corporate,United States,San Francisco,California,94122,West
144,CA-2017-155376,12/27/2017,Standard Class,Consumer,United States,Independence,Missouri,64055,Central
145,CA-2015-110744,9/12/2015,Standard Class,Consumer,United States,Pasadena,California,91104,West
146,CA-2014-110072,10/28/2014,Standard Class,Home Office,United States,Newark,Ohio,43055,East
147,CA-2016-114489,12/9/2016,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central
151,CA-2016-158834,3/16/2016,First Class,Home Office,United States,Scottsdale,Arizona,85254,West
153,CA-2015-124919,6/2/2015,First Class,Corporate,United States,San Jose,California,95123,West
156,CA-2015-118948,6/3/2015,Standard Class,Home Office,United States,Seattle,Washington,98105,West
157,CA-2014-104269,3/6/2014,Second Class,Consumer,United States,Seattle,Washington,98115,West
158,CA-2016-114104,11/24/2016,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central
160,CA-2016-162733,5/12/2016,First Class,Consumer,United States,Los Angeles,California,90045,West
161,CA-2015-119697,12/31/2015,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
162,CA-2016-154508,11/20/2016,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West
163,CA-2016-113817,11/11/2016,Standard Class,Consumer,United States,Seattle,Washington,98115,West
164,CA-2014-139892,9/12/2014,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central
171,CA-2014-118962,8/9/2014,Standard Class,Consumer,United States,Los Angeles,California,90004,West
174,US-2014-100853,9/19/2014,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central
176,US-2017-152366,4/25/2017,Second Class,Consumer,United States,Houston,Texas,77036,Central
177,US-2015-101511,11/23/2015,Second Class,Consumer,United States,Newark,Ohio,43055,East
179,CA-2015-137225,12/19/2015,Standard Class,Home Office,United States,New York City,New York,10009,East
180,CA-2014-166191,12/9/2014,Second Class,Corporate,United States,Decatur,Illinois,62521,Central
182,CA-2014-158274,11/24/2014,Second Class,Home Office,United States,Monroe,Louisiana,71203,South
185,CA-2016-105018,12/2/2016,Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East
186,CA-2014-123260,8/30/2014,Standard Class,Home Office,United States,Los Angeles,California,90032,West
187,CA-2016-157000,7/22/2016,Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central
189,CA-2015-102281,10/14/2015,First Class,Home Office,United States,New York City,New York,10035,East
194,CA-2015-131457,11/6/2015,Standard Class,Corporate,United States,Redlands,California,92374,West
195,CA-2014-140004,3/25/2014,Standard Class,Consumer,United States,Hamilton,Ohio,45011,East
197,CA-2017-107720,11/13/2017,Standard Class,Home Office,United States,Westfield,New Jersey,7090,East
198,US-2017-124303,7/13/2017,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East
200,CA-2017-105074,6/29/2017,Standard Class,Consumer,United States,Akron,Ohio,44312,East
201,CA-2014-133690,8/5/2014,First Class,Consumer,United States,Denver,Colorado,80219,West
203,US-2017-116701,12/21/2017,Second Class,Consumer,United States,Dallas,Texas,75220,Central
204,CA-2017-126382,6/7/2017,Standard Class,Corporate,United States,Franklin,Tennessee,37064,South
205,CA-2017-108329,12/14/2017,Standard Class,Consumer,United States,Whittier,California,90604,West
206,CA-2017-135860,12/7/2017,Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central
211,CA-2015-101007,2/13/2015,Second Class,Corporate,United States,Dallas,Texas,75220,Central
212,CA-2015-146262,1/9/2015,Standard Class,Corporate,United States,Medina,Ohio,44256,East
217,CA-2016-130162,11/1/2016,Standard Class,Consumer,United States,Los Angeles,California,90032,West
219,CA-2015-169397,12/27/2015,First Class,Consumer,United States,Dublin,Ohio,43017,East
225,CA-2015-163055,8/16/2015,Standard Class,Corporate,United States,Detroit,Michigan,48227,Central
228,US-2015-145436,3/4/2015,Standard Class,Consumer,United States,Columbia,Tennessee,38401,South
230,US-2014-156216,9/17/2014,Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South
231,US-2017-100930,4/12/2017,Standard Class,Home Office,United States,Tampa,Florida,33614,South
236,CA-2017-160514,11/16/2017,Standard Class,Corporate,United States,Santa Clara,California,95051,West
237,CA-2016-157749,6/9/2016,Second Class,Consumer,United States,Chicago,Illinois,60610,Central
244,CA-2014-131926,6/6/2014,Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central
249,CA-2016-154739,12/15/2016,Second Class,Consumer,United States,San Francisco,California,94109,West
250,CA-2016-145625,9/17/2016,Standard Class,Consumer,United States,San Diego,California,92037,West
252,CA-2016-146941,12/13/2016,First Class,Consumer,United States,New York City,New York,10024,East
254,US-2015-159982,12/4/2015,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central
258,CA-2017-163139,12/3/2017,Second Class,Consumer,United States,New York City,New York,10009,East
261,US-2017-155299,6/12/2017,Standard Class,Corporate,United States,Pasadena,Texas,77506,Central
262,US-2014-106992,9/21/2014,Second Class,Corporate,United States,Houston,Texas,77036,Central
264,CA-2016-125318,6/13/2016,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central
265,CA-2015-155040,11/15/2015,Standard Class,Consumer,United States,Brentwood,California,94513,West
266,CA-2017-136826,6/20/2017,Standard Class,Corporate,United States,Chapel Hill,North Carolina,27514,South
267,CA-2016-111010,1/28/2016,Standard Class,Consumer,United States,Morristown,New Jersey,7960,East
268,US-2017-145366,12/13/2017,Standard Class,Corporate,United States,Cincinnati,Ohio,45231,East
270,CA-2017-163979,1/2/2018,Second Class,Corporate,United States,San Francisco,California,94110,West
271,CA-2015-155334,7/31/2015,First Class,Consumer,United States,San Francisco,California,94109,West
274,CA-2017-118136,9/17/2017,First Class,Corporate,United States,Inglewood,California,90301,West
276,CA-2017-132976,10/17/2017,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East
280,US-2015-161991,9/28/2015,Second Class,Consumer,United States,Houston,Texas,77070,Central
282,CA-2015-130890,11/6/2015,Standard Class,Consumer,United States,Los Angeles,California,90004,West
283,CA-2015-130883,10/2/2015,Standard Class,Consumer,United States,Portland,Oregon,97206,West
286,CA-2016-112697,12/20/2016,Second Class,Corporate,United States,Tamarac,Florida,33319,South
289,CA-2016-110772,11/24/2016,Second Class,Home Office,United States,Columbus,Ohio,43229,East
293,CA-2014-111451,12/28/2014,First Class,Corporate,United States,Colorado Springs,Colorado,80906,West
298,CA-2016-142545,11/3/2016,Standard Class,Corporate,United States,Belleville,New Jersey,7109,East
303,US-2017-152380,11/23/2017,Standard Class,Consumer,United States,Chicago,Illinois,60623,Central
304,CA-2015-144253,5/9/2015,Second Class,Corporate,United States,New York City,New York,10024,East
305,CA-2014-130960,1/4/2015,Standard Class,Corporate,United States,Taylor,Michigan,48180,Central
306,CA-2014-111003,6/6/2014,Standard Class,Home Office,United States,Lakewood,New Jersey,8701,East
308,CA-2017-126774,4/17/2017,First Class,Consumer,United States,Arlington,Virginia,22204,South
309,CA-2016-142902,9/14/2016,Second Class,Corporate,United States,Arvada,Colorado,80004,West
313,CA-2014-120887,10/3/2014,Standard Class,Corporate,United States,Hackensack,New Jersey,7601,East
314,CA-2014-167850,8/16/2014,Standard Class,Corporate,United States,Saint Petersburg,Florida,33710,South
316,CA-2014-164259,12/30/2014,First Class,Corporate,United States,Philadelphia,Pennsylvania,19143,East
317,CA-2014-164973,11/9/2014,Standard Class,Home Office,United States,New York City,New York,10024,East
322,CA-2014-156601,9/24/2014,Standard Class,Corporate,United States,Long Beach,California,90805,West
323,CA-2016-162138,4/27/2016,Standard Class,Corporate,United States,Hesperia,California,92345,West
325,CA-2017-153339,11/5/2017,Second Class,Corporate,United States,Murfreesboro,Tennessee,37130,South
326,US-2016-141544,9/1/2016,First Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East
331,US-2016-150147,4/29/2016,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East
334,CA-2015-137946,9/4/2015,Second Class,Consumer,United States,Los Angeles,California,90045,West
337,CA-2014-129924,7/17/2014,Standard Class,Corporate,United States,San Francisco,California,94122,West
339,CA-2015-128167,6/26/2015,Second Class,Consumer,United States,Layton,Utah,84041,West
340,CA-2014-122336,4/17/2014,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East
344,US-2015-120712,12/24/2015,Standard Class,Consumer,United States,Austin,Texas,78745,Central
345,CA-2017-169901,6/19/2017,Standard Class,Consumer,United States,San Francisco,California,94122,West
346,CA-2017-134306,7/12/2017,Standard Class,Consumer,United States,Lowell,Massachusetts,1852,East
349,CA-2016-129714,9/3/2016,First Class,Home Office,United States,New York City,New York,10009,East
354,CA-2016-138520,4/13/2016,Standard Class,Consumer,United States,New York City,New York,10035,East
